Student_ID,Wave_Year,University,Gender,Age,Urban_Rural,Family_Income,Internet_Reliability,Current_AI_User,AI_Daily_Hours,Academic_AI_Hours_Weekly,Paid_Subscription,Primary_AI_Tool,Peer_AI_Consultation,Semester_GPA,Perceived_GPA_Impact,Time_Saved_Pct,Critical_Thinking_Impact,Problem_Solving_Improvement,Exam_Prep_AI,Attention_Span_Mins,AI_Distraction_Level,Technostress_Overload,Techno_Eustress,Literacy_Awareness,Literacy_Usage_Skill,Hallucination_Detection,Career_Preparedness,Digital_Divide_Barrier,Policy_Preference
STU-10000,2026,CoU,Male,20,Urban,Middle,3,1,1.86,3.79,1,GitHub Copilot,2,2.64,2,17.3,4,2,1,20,4,4,3,3,3,4,1,3,Integration
STU-10000,2027,CoU,Male,21,Urban,Middle,4,1,3.91,15.17,0,Claude,1,2.68,0,13.9,4,4,0,62,4,4,5,4,4,3,1,4,Restriction
STU-10000,2028,CoU,Male,22,Urban,Middle,2,1,2.1,6.59,0,Claude,2,2.84,2,47.6,4,4,0,43,2,1,4,5,5,4,5,1,Integration
STU-10001,2026,MIST,Female,19,Urban,Lower-Middle,1,1,4.46,14.33,1,Claude,1,2.86,2,44.5,4,2,0,35,5,3,4,3,3,3,3,1,Neutral
STU-10001,2027,MIST,Female,20,Urban,Lower-Middle,2,1,3.54,8.76,0,Gemini,1,2.73,0,11.0,5,3,0,42,5,4,5,4,3,5,3,5,Banned
STU-10001,2028,MIST,Female,22,Urban,Lower-Middle,4,1,5.44,21.0,0,ChatGPT,5,2.78,2,42.1,4,4,1,36,3,2,4,5,4,1,1,1,Neutral
STU-10002,2026,DIU,Male,20,Rural,Low,3,1,1.41,3.72,0,ChatGPT,4,3.27,-1,12.6,2,4,1,44,1,5,1,3,3,1,3,1,Restriction
STU-10002,2027,DIU,Male,21,Rural,Low,1,0,0.49,1.6,0,Other,4,3.26,0,0.0,4,3,1,42,3,1,5,4,4,2,3,1,Integration
STU-10002,2028,DIU,Male,21,Rural,Low,4,1,2.51,6.67,0,Claude,3,3.24,1,23.9,4,1,0,45,1,3,4,4,3,1,2,2,Neutral
STU-10003,2026,CoU,Male,20,Rural,Middle,3,0,0.0,0.0,0,Gemini,3,2.9,2,0.0,1,4,0,50,1,4,4,2,2,3,1,3,Integration
STU-10003,2027,CoU,Male,20,Rural,Middle,1,1,5.8,13.64,0,Other,4,2.94,1,36.3,1,4,0,29,5,3,3,3,2,2,5,1,Banned
STU-10003,2028,CoU,Male,21,Rural,Middle,3,1,2.84,8.94,0,ChatGPT,4,2.75,2,28.8,5,3,1,40,1,5,5,3,2,5,3,4,Integration
STU-10004,2026,NSU,Female,19,Urban,Upper-Middle,2,1,3.07,9.9,1,Claude,3,3.24,0,45.1,1,1,0,35,5,2,2,3,2,2,1,5,Banned
STU-10004,2027,NSU,Female,20,Urban,Upper-Middle,4,1,5.07,16.02,0,Gemini,1,3.17,0,31.7,5,2,1,41,1,4,2,4,4,3,4,5,Integration
STU-10004,2028,NSU,Female,21,Urban,Upper-Middle,4,1,3.19,11.75,0,Gemini,4,3.31,3,48.8,2,3,0,27,2,2,5,5,5,5,1,4,Integration
STU-10005,2026,DU,Female,19,Urban,Lower-Middle,5,0,0.0,0.0,0,GitHub Copilot,2,2.66,1,0.0,5,1,0,50,4,5,1,2,2,4,5,4,Banned
STU-10005,2027,DU,Female,21,Urban,Lower-Middle,1,1,2.97,8.7,0,Claude,2,2.55,3,45.5,4,2,1,43,5,5,4,2,2,2,1,4,Banned
STU-10005,2028,DU,Female,22,Urban,Lower-Middle,3,1,5.13,16.87,0,Gemini,3,2.65,3,35.0,1,1,1,47,2,3,4,4,3,5,4,2,Integration
STU-10006,2026,SSMC,Male,20,Urban,Middle,2,0,0.14,0.48,0,Other,4,3.68,-1,0.0,5,5,0,22,3,1,3,2,2,4,2,1,Neutral
STU-10006,2027,SSMC,Male,20,Urban,Middle,4,1,5.08,14.53,0,ChatGPT,3,3.82,-1,25.1,1,4,1,40,1,5,3,4,3,1,4,4,Integration
STU-10006,2028,SSMC,Male,22,Urban,Middle,3,1,4.49,13.4,0,Other,3,3.75,2,23.1,3,5,1,59,4,1,2,5,5,4,1,5,Restriction
STU-10007,2026,CoU,Female,20,Urban,Lower-Middle,1,1,2.61,10.15,1,GitHub Copilot,4,3.41,2,13.3,5,4,1,30,3,2,2,1,0,3,5,5,Restriction
STU-10007,2027,CoU,Female,21,Urban,Lower-Middle,5,1,1.98,7.21,0,Gemini,5,3.55,2,48.5,4,1,0,39,2,4,5,3,3,5,5,5,Banned
STU-10007,2028,CoU,Female,21,Urban,Lower-Middle,2,1,4.69,10.93,0,ChatGPT,5,3.64,1,46.0,1,3,1,30,2,4,4,4,3,2,4,4,Restriction
STU-10008,2026,BRUR,Female,19,Urban,Low,4,1,2.51,8.05,0,Other,3,3.08,3,47.6,3,5,0,46,5,1,1,3,3,1,3,5,Restriction
STU-10008,2027,BRUR,Female,20,Urban,Low,5,1,4.56,9.69,0,ChatGPT,5,3.01,2,42.5,5,3,0,39,5,5,5,4,4,2,3,1,Integration
STU-10008,2028,BRUR,Female,21,Urban,Low,5,1,2.4,5.79,1,Claude,4,2.88,0,29.9,3,3,1,42,5,3,1,5,4,5,5,2,Neutral
STU-10009,2026,SSMC,Male,20,Rural,High,1,1,3.73,11.29,0,GitHub Copilot,2,3.47,1,37.9,5,4,1,43,1,2,1,2,2,4,5,2,Restriction
STU-10009,2027,SSMC,Male,20,Rural,High,3,0,0.0,0.0,0,Gemini,4,3.38,2,0.0,1,3,1,63,2,5,2,3,2,3,5,5,Restriction
STU-10009,2028,SSMC,Male,22,Rural,High,1,1,3.52,10.81,0,Claude,1,3.36,0,37.6,1,2,0,40,1,3,5,5,4,2,4,1,Banned
STU-10010,2026,JUST,Male,19,Rural,Middle,2,1,2.29,4.74,0,Gemini,3,3.39,2,14.3,2,3,0,36,5,4,2,3,2,1,1,2,Restriction
STU-10010,2027,JUST,Male,20,Rural,Middle,4,1,1.64,4.45,0,Claude,4,3.16,0,32.3,1,4,0,31,2,1,5,4,4,4,2,2,Neutral
STU-10010,2028,JUST,Male,21,Rural,Middle,4,1,1.9,7.04,0,ChatGPT,3,3.28,1,10.7,5,4,1,38,4,3,4,5,4,1,3,1,Restriction
STU-10011,2026,MIST,Male,19,Urban,Upper-Middle,4,1,0.64,1.42,0,Other,3,2.81,2,22.8,3,1,1,17,2,2,5,3,2,2,4,2,Integration
STU-10011,2027,MIST,Male,20,Urban,Upper-Middle,1,1,2.13,7.48,0,Gemini,1,2.81,3,43.2,4,2,1,37,1,4,5,3,3,3,1,5,Restriction
STU-10011,2028,MIST,Male,21,Urban,Upper-Middle,3,1,2.14,7.12,0,GitHub Copilot,1,2.75,3,33.5,2,3,0,37,1,1,1,5,4,1,2,5,Banned
STU-10012,2026,BRUR,Male,19,Urban,Upper-Middle,4,1,2.51,8.73,0,Other,1,3.55,-1,38.3,3,1,1,51,5,3,2,2,1,5,4,5,Banned
STU-10012,2027,BRUR,Male,20,Urban,Upper-Middle,5,1,1.64,4.02,0,Claude,3,3.72,1,37.8,4,2,0,38,3,5,4,4,3,2,2,3,Banned
STU-10012,2028,BRUR,Male,22,Urban,Upper-Middle,3,1,3.6,13.9,0,GitHub Copilot,5,3.55,3,38.3,2,1,1,34,3,5,1,5,5,3,1,5,Integration
STU-10013,2026,UIU,Male,19,Urban,Upper-Middle,1,1,1.72,4.16,0,Claude,1,2.81,1,25.9,1,2,0,59,2,2,3,4,4,3,1,3,Neutral
STU-10013,2027,UIU,Male,20,Urban,Upper-Middle,4,1,1.31,3.72,1,ChatGPT,5,2.95,1,35.3,4,2,0,47,1,1,4,5,5,4,5,1,Neutral
STU-10013,2028,UIU,Male,21,Urban,Upper-Middle,3,1,4.02,14.47,0,Other,1,2.88,3,25.1,3,2,0,24,3,2,2,5,5,4,1,2,Restriction
STU-10014,2026,JnU,Male,19,Urban,Lower-Middle,4,1,3.25,11.96,1,ChatGPT,1,3.79,1,19.2,3,5,1,45,3,3,1,3,3,2,3,3,Banned
